,Unnamed: 0,android_id,apptype,carrier,dev_height,dev_ppi,dev_width,label,lan,media_id,ntt,os,osv,package,sid,timestamp,version,fea_hash,location,fea1_hash,cus_type
14,14,673403,1223,46000.0,960.0,0.0,540.0,0,,34,2.0,android,5.1.1,5,1948217,1559549464962.089,0,1854118439,14,2111611828,449
15,15,155248,917,46000.0,2280.0,0.0,1080.0,0,zh-CN,14,6.0,Android,8.1.0,2,1212520,1559972949076.7683,3,738486495,12,2678022183,316
16,16,225634,1001,46000.0,0.0,480.0,0.0,0,zh-CN,394,2.0,Android,8.1.0,76,1311419,1559898998153.3232,1,3055065311,15,3578740340,392
17,17,274285,941,-1.0,0.0,0.0,0.0,1,,74,6.0,android,7.8.7,16,1379250,1559914176093.7007,0,3369125340,16,131824507,297
18,18,177923,1076,46000.0,2280.0,0.0,1080.0,1,zh-CN,64,2.0,android,8.1.0,0,1244309,1560006406524.49,6,1247442958,17,968590437,1171
19,19,0,1106,46000.0,0.0,0.0,0.0,0,,39,0.0,android,4.4.4,256,1904621,1559539558462.321,0,3082557301,18,4243455607,411
20,20,350228,1076,46001.0,2248.0,0.0,1080.0,1,zh-CN,64,2.0,android,8.1.0,0,1486336,1559830224548.4468,5,2978368039,19,952438378,658
21,21,633593,893,0.0,0.0,0.0,0.0,0,,49,2.0,android,,0,1891655,1559662236032.104,4,1994502773,20,695362607,1361
22,22,290658,917,46000.0,1280.0,0.0,720.0,0,,94,6.0,android,6.0,0,1402438,1559884939282.9932,4,1914603637,21,2490130727,1285
23,23,143434,938,46000.0,2280.0,3.0,1080.0,1,zh-CN,4,2.0,Android,8.0.0,1,1196033,1559996848884.7017,11,3048506213,5,129322164,772
24,24,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.0.0,4,1382262,1559873357500.952,0,1584518518,22,2711576615,411
25,25,19337,761,46001.0,1920.0,0.0,1080.0,0,,54,6.0,android,6.0.1,9,1025938,1560069138920.298,0,2174066237,23,1625072564,449
26,26,329092,893,0.0,0.0,0.0,0.0,0,,49,2.0,android,8.1,0,1456930,1559822477625.0452,4,4090121327,20,695362607,772
27,27,61234,1052,46000.0,1920.0,480.0,1080.0,0,zh-CN,69,2.0,Android,5.1,14,1082872,1560050097278.4202,0,1445537392,24,4090208211,1152
28,28,476806,941,-1.0,0.0,0.0,0.0,1,,224,6.0,android,3.9.0,42,1665696,1559699982151.2852,0,596797663,25,131824507,468
29,29,0,1106,46000.0,0.0,0.0,0.0,0,,39,2.0,android,8.1.0,140,1095510,1560012833323.9636,0,276796533,26,4190764663,411
30,30,708858,1199,46000.0,0.0,0.0,0.0,0,cn,104,2.0,android,8.1.0,18,1998523,1559563690660.251,8,2829761653,-1,2329670524,1057
31,31,299771,788,46000.0,2340.0,2.0,1080.0,1,zh-CN,659,2.0,android,8.1.0,7,1415404,1559880918790.41,8,634714332,20,4190456432,1285
32,32,129649,1052,46000.0,1280.0,480.0,720.0,0,zh-CN,69,2.0,Android,6.0.1,14,1176892,1559978047119.4443,0,3742743101,27,4090208211,335
33,33,443878,917,46000.0,2340.0,0.0,1080.0,1,,94,2.0,android,8.1.0,0,1619212,1559744472837.844,5,3897128308,28,3010814247,506
34,34,418587,1055,46001.0,1080.0,0.0,2280.0,1,,9,2.0,android,Android_8.1.0,0,1583202,1559825653821.191,0,3396161137,17,1574395183,620
35,35,274117,845,46000.0,1280.0,2.0,720.0,1,zh-cn,84,2.0,android,6.0.1,0,1379014,1559894117850.661,4,183315515,29,2862767663,449
36,36,645665,761,46000.0,1800.0,0.0,1080.0,0,,54,2.0,android,5.1.1,9,1914724,1559554272648.1294,0,439342394,12,1708958644,829
37,37,485145,1076,46000.0,2244.0,0.0,1080.0,1,zh-CN,64,2.0,android,9,0,1677611,1559731826391.2642,5,619647515,30,3868593770,696
38,38,640402,917,46000.0,1436.0,0.0,720.0,0,,94,2.0,android,8.1.0,0,1901717,1559556892836.7568,4,1444686906,31,2490130727,1380
39,39,376215,1052,46000.0,2070.0,480.0,1080.0,0,zh-CN,69,2.0,Android,7.1.1,14,1523102,1559830217562.883,0,2113768309,0,3989544915,544
40,40,131193,761,46000.0,1280.0,0.0,720.0,0,,54,2.0,android,5.1,9,1179005,1559955618053.0457,0,1013186160,7,3338642356,886
41,41,589552,758,46000.0,1920.0,0.0,1080.0,0,zh,149,2.0,android,7.0,26,1827753,1559631657135.7368,0,1421281386,32,1891348358,316
42,42,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1004446,1560089875075.2087,0,771237751,33,2728353831,411
43,43,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1817902,1559599956332.6494,0,4047669365,34,2745131047,411
44,44,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1508105,1559812160415.1746,0,275279540,12,2745131047,411
45,45,302618,1052,46000.0,1424.0,326.0,720.0,0,zh-CN,159,2.0,Android,8.1,27,1419395,1559909385471.1555,8,3621887527,35,951340212,1228
46,46,599927,1211,46003.0,2196.0,0.0,1080.0,0,,434,2.0,android,,0,1842732,1559597729901.6914,4,209839031,21,867731639,335
47,47,562831,761,46000.0,2560.0,0.0,1440.0,0,,54,2.0,android,6.0.1,9,1811296,1559599862944.3025,0,1847398926,36,2128389044,563
48,48,133376,758,46001.0,1920.0,0.0,1080.0,0,,199,2.0,android,7.1.1,38,1182045,1559979272072.4104,0,1411997818,8,802988980,544
49,49,184719,917,46000.0,2280.0,0.0,1080.0,0,zh-CN,14,6.0,Android,8.1.0,2,1253820,1559986047246.9954,3,704831600,37,2711576615,316
50,50,0,1106,46000.0,0.0,0.0,0.0,0,,39,0.0,android,5.1.1,55,1063650,1560062112883.3403,0,2201732791,38,4190764663,411
51,51,279117,941,-1.0,0.0,0.0,0.0,0,,74,6.0,android,7.9.2,16,1386098,1559913672123.4585,0,2061598570,39,131824507,392
52,52,73660,1199,46000.0,0.0,0.0,0.0,1,cn,104,2.0,android,8.1.0,18,1099760,1560087077319.3853,8,647254577,40,2329670524,772
53,53,52877,758,46000.0,1806.0,0.0,1080.0,0,,199,4.0,android,9,38,1071313,1560067223358.0874,0,3073484411,41,1708958644,487
54,54,544091,917,46000.0,1520.0,0.0,720.0,0,zh-CN,14,2.0,Android,8.1.0,2,1762447,1559615228711.5398,3,3333073781,42,2745131047,791
55,55,194780,917,46000.0,2040.0,0.0,1080.0,1,zh_CN,109,6.0,android,9,0,1268081,1559968788709.3108,0,3411773557,43,138118264,1190
56,56,11880,929,46000.0,2280.0,3.0,1080.0,1,zh-CN,59,6.0,Android,8.1.0,11,1015896,1560091330867.6172,5,239102175,17,1882209147,525
57,57,138698,1076,46003.0,2244.0,0.0,1080.0,1,zh-CN,64,6.0,android,9,0,1189374,1560004616551.214,5,2751594649,27,4130235439,924
58,58,35370,884,46000.0,480.0,3.0,480.0,1,zh-CN,334,2.0,Android,9,67,1047649,1560081438540.8655,4,3258222709,30,3258222709,525
59,59,39066,845,46000.0,2340.0,0.0,1080.0,1,zh-CN,184,2.0,Android,8.1.0,33,1052547,1560069369322.201,0,598461111,2,2355218315,487
60,60,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1521793,1559836547407.1145,0,1827010526,33,2594136103,411
61,61,670806,1199,46000.0,0.0,0.0,0.0,1,cn,104,2.0,android,8.0.0,18,1944586,1559519396848.8286,8,135817439,44,2329670524,1323
62,62,133348,1199,46000.0,0.0,0.0,0.0,0,cn,104,6.0,android,8.1.0,18,1182004,1559999420559.6504,8,3608709237,33,2329670524,924
63,63,494692,1001,46001.0,1280.0,2.0,720.0,1,zh-CN,114,2.0,Android,6.0.1,19,1691339,1559723972893.9587,7,2311698748,45,1324376623,658
64,64,624008,1055,46000.0,2267.0,0.0,1080.0,0,,9,6.0,android,Android_9,0,1877689,1559649020675.2617,0,1597999221,0,1947679611,430
65,65,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1926040,1559570948682.1665,0,759195103,46,2711576615,411
66,66,697959,740,46000.0,1920.0,0.0,1080.0,1,zh-CN,99,2.0,android,5.1,0,1982871,1559554156057.4841,0,71153525,47,3000817522,1000
67,67,585110,941,-1.0,0.0,0.0,0.0,1,,74,2.0,android,7.9.0,16,1821189,1559632144852.623,0,980546680,48,131824507,1304
68,68,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1877996,1559656860513.084,0,1049163895,49,2644467751,411
69,69,0,1001,46000.0,780.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1415442,1559891045387.9358,0,1815318199,26,2610913319,411
70,70,13745,1076,46001.0,2160.0,0.0,1080.0,1,zh-CN,64,2.0,android,9,0,1684489,1559748462138.0913,5,1013858428,48,1510695983,943
71,71,429787,917,0.0,1520.0,0.0,720.0,1,zh,229,2.0,android,8.1.0,0,1599327,1559814828643.9988,0,296275339,50,440108152,1133
72,72,374770,761,46000.0,1920.0,0.0,1080.0,0,,54,2.0,android,7.1.1,9,1583372,1559789411341.551,0,797833335,49,1641849780,848
73,73,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.0.0,4,1669251,1559692928942.9348,0,772827359,51,2627690535,411
74,74,395191,1076,46003.0,2280.0,0.0,1080.0,1,zh-CN,64,2.0,android,9,0,1549925,1559825086690.4285,6,2992789873,13,3868593770,791
75,75,0,1001,46000.0,748.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1057661,1560080077678.0876,0,3273091295,27,2610913319,411
76,76,695803,1055,46000.0,2160.0,0.0,1080.0,1,,9,5.0,android,Android_9,0,1979824,1559552413488.4895,0,51800287,52,1981234043,373
77,77,666305,917,46001.0,1520.0,0.0,720.0,0,,94,6.0,android,8.1.0,0,1938233,1559553302508.992,4,1610098551,33,3010814247,1361
78,78,492256,1052,46000.0,2340.0,480.0,1080.0,0,zh-CN,69,2.0,Android,8.1.0,14,1687890,1559724994236.3052,0,1093568629,12,3972767699,658
79,79,0,1001,46000.0,818.0,0.0,393.0,1,zh-CN,29,5.0,Android,9.0.0,4,1550087,1559775066250.8538,0,1792616631,36,2678022183,411
80,80,0,1106,46000.0,0.0,0.0,0.0,0,,39,0.0,android,7.1.2,397,1267894,1559968659640.2622,0,2426424945,17,4190764663,411
81,81,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1829842,1559623070376.502,0,3556862175,53,2594136103,411
82,82,506513,1076,46000.0,2244.0,0.0,1080.0,1,zh-CN,64,6.0,android,9,0,1708242,1559711124795.4006,5,407079029,54,1510695983,943
83,83,374003,917,46000.0,2340.0,0.0,1080.0,0,zh-CN,14,2.0,Android,8.1.0,2,1519948,1559797289449.7454,3,2529135226,55,2644467751,715
84,84,86177,1052,46000.0,2280.0,480.0,1080.0,1,zh-CN,69,2.0,Android,8.1.0,14,1116947,1560088741262.1997,0,1342466271,12,4106985427,1057
85,85,451382,761,46001.0,2160.0,0.0,1080.0,0,,54,6.0,android,7.1.1,9,1629686,1559731643297.1582,0,3620328566,56,702325684,1076
86,86,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1775027,1559657819084.1882,0,3754419127,21,2627690535,411
87,87,444817,941,-1.0,0.0,0.0,0.0,1,,224,6.0,android,3.8.6,42,1620486,1559739058014.6543,0,174360693,57,131824507,601
88,88,214589,740,0.0,1920.0,0.0,1080.0,0,zh-CN,99,2.0,android,7.0,0,1296073,1559985445621.215,2,2379533494,58,3705460594,1057
89,89,0,1001,46000.0,780.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1650835,1559736393184.5342,0,1754634613,59,2728353831,411
90,90,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1959228,1559539398949.569,0,1640202090,52,2694799399,411
91,91,0,758,46000.0,0.0,0.0,0.0,0,,199,2.0,android,8.1.0,38,1081062,1560015510138.1135,0,2747164895,7,2128389044,411
92,92,454168,893,-1.0,0.0,0.0,0.0,0,,89,6.0,android,9,17,1633669,1559722367648.1538,0,1358585015,60,1719863450,1114
93,93,525491,761,46000.0,1280.0,0.0,720.0,1,,54,2.0,android,6.0,9,1735773,1559735317985.3335,0,2455914975,61,1692181428,1247
94,94,475986,956,46000.0,1920.0,480.0,1080.0,0,zh-CN,314,2.0,Android,7.1.1,62,1664533,1559739178806.4497,0,771146863,48,3799800952,639
95,95,145565,1001,0.0,1520.0,0.0,720.0,0,,29,2.0,android,8.1.0,0,1199000,1559990649939.2468,3,3723057631,62,2661244967,1323
96,96,455176,1076,46000.0,2160.0,0.0,1080.0,0,zh-CN,64,6.0,android,7.1.1,0,1635079,1559711948165.0168,5,167274719,21,4130235439,1304
97,97,486936,719,46000.0,2248.0,440.0,1080.0,1,zh-CN,44,3.0,android,9,7,1680209,1559713394223.9556,8,2235818096,7,899836719,335
98,98,243700,908,46003.0,1920.0,480.0,1080.0,0,zh-CN,134,2.0,Android,7.1.2,23,1336608,1559879575942.9604,6,2243256699,63,1479555963,734
99,99,98205,845,46000.0,1520.0,2.0,720.0,1,zh-CN,184,2.0,Android,8.1.0,33,1133475,1560057688560.2078,1,4104651812,64,1554026688,506
100,100,258237,740,46000.0,1280.0,0.0,720.0,0,zh-CN,99,2.0,android,6.0,0,1356754,1559894801078.7944,6,2849603623,65,3591493490,392
101,101,241052,1199,46000.0,0.0,0.0,0.0,1,cn,104,6.0,android,8.1.0,18,1332921,1559864437835.8003,8,1094130394,66,2329670524,886
102,102,630281,761,46000.0,1280.0,0.0,720.0,0,,54,0.0,android,5.1,9,1886779,1559631231971.6443,0,1462339701,36,1625072564,1209
103,103,382566,917,46000.0,1280.0,0.0,720.0,0,zh-CN,14,2.0,Android,5.1.0,2,1532056,1559806804118.3215,3,3786495711,50,2661244967,1095
104,104,362576,845,46000.0,1496.0,0.0,720.0,1,zh-CN,184,2.0,Android,9,33,1503680,1559771070245.6604,0,3951523953,67,2355218315,506
105,105,105316,893,0.0,0.0,0.0,0.0,0,,49,2.0,android,,0,1143280,1560012364631.2483,4,780399327,68,3863045423,468
106,106,150989,1223,46000.0,1920.0,0.0,1080.0,0,,34,6.0,android,7.1.1,5,1206608,1559958311056.9187,0,2799984177,12,702325684,981
107,107,552626,893,0.0,0.0,0.0,0.0,0,,49,2.0,android,5.1,0,1774483,1559634248378.036,4,1220062843,69,2864801071,468
108,108,407799,1052,46000.0,1920.0,480.0,1080.0,1,zh,249,6.0,Android,7.0,53,1567839,1559817850827.5168,1,3043005557,26,2047788921,620
109,109,263993,1052,46000.0,1920.0,480.0,1080.0,0,zh-CN,69,2.0,Android,7.1.1,14,1364859,1559885345417.5232,0,1466897188,1,3972767699,753
110,110,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1917969,1559527807310.1182,0,4069962813,41,2610913319,411
111,111,61108,1052,46000.0,1806.0,326.0,1080.0,1,zh-CN,159,2.0,Android,9.0,27,1082706,1560085935064.627,8,2804384182,70,2039942250,1266
112,112,273731,1001,46000.0,1467.0,2.0,720.0,1,zh-CN,114,2.0,Android,8.1.0,19,1378477,1559884740357.5745,7,3357038446,71,3837420079,601
113,113,471895,1199,46000.0,0.0,0.0,0.0,0,cn,104,6.0,android,7.1.1,18,1658746,1559717093692.3225,8,3017891377,12,2329670524,1133
114,114,465748,941,-1.0,0.0,0.0,0.0,1,,74,6.0,android,7.7.7,16,1650035,1559697120909.597,0,855861471,48,131824507,1342
115,115,0,1001,46000.0,640.0,0.0,360.0,0,zh-CN,29,2.0,Android,6.0.0,4,1876482,1559650483593.9749,0,778622603,72,2711576615,411
116,116,210794,761,46000.0,1920.0,0.0,1080.0,0,,54,6.0,android,8.1.0,9,1290713,1559979738911.461,0,2099407071,57,3338642356,1342
117,117,0,1106,46000.0,0.0,0.0,0.0,0,,39,2.0,android,5.1.1,39,1401446,1559874037832.3564,0,1642980279,21,4190764663,411
118,118,0,758,46000.0,0.0,0.0,0.0,0,,439,0.0,android,6.0,90,1061737,1560013194028.1682,0,2500880607,51,4190764663,411
119,119,595155,929,46000.0,1358.0,3.0,720.0,0,zh-CN,59,2.0,Android,7.1.2,78,1835842,1559650492211.634,5,126661493,73,1496333179,658
120,120,140668,761,46000.0,1280.0,0.0,720.0,0,,54,2.0,android,6.0,9,1192172,1559996783815.0168,0,41578422,74,1641849780,1228
121,121,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1525459,1559808887388.9907,0,1368171230,75,2610913319,411
122,122,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.0.0,4,1877697,1559635293538.8542,0,3700312182,66,2711576615,411
123,123,619122,1055,46001.0,1080.0,0.0,1920.0,1,,9,2.0,android,Android_9,0,1870532,1559625247451.403,0,2159937909,11,2322554671,1171
124,124,209848,1004,46001.0,2160.0,480.0,1080.0,1,zh,139,6.0,android,9,24,1289378,1559940260609.6304,6,1956246059,76,876774520,506
125,125,662662,1199,46000.0,0.0,0.0,0.0,1,cn,104,6.0,android,9,18,1933087,1559565925300.8835,8,4068090229,10,2329670524,1076
126,126,0,1106,46000.0,0.0,0.0,0.0,0,,39,2.0,android,7.1.2,113,1278742,1559970800276.844,0,527889528,48,4190764663,411
127,127,549086,761,46001.0,1356.0,0.0,720.0,0,,54,6.0,android,7.1.2,9,1769474,1559656371701.99,0,3356985461,77,3892290484,1152
128,128,556905,893,0.0,0.0,0.0,0.0,1,,49,6.0,android,8.1,0,1780627,1559610286415.6897,4,3534383327,20,1402168623,316
129,129,594805,893,-1.0,0.0,0.0,0.0,0,,89,2.0,android,5.0.2,17,1835337,1559599900078.6726,0,2815265399,78,553314878,601
130,130,368447,1055,0.0,1080.0,0.0,1920.0,0,,9,5.0,android,Android_6.0.1,0,1512044,1559752135105.4832,0,2970849204,52,2048342907,1019
131,131,0,1001,46000.0,851.0,0.0,393.0,1,zh-CN,29,5.0,Android,9.0.0,4,1061063,1560092953778.6182,0,3407571167,79,2661244967,411
132,132,146476,1199,46000.0,0.0,0.0,0.0,1,cn,104,6.0,android,7.1.1,18,1200254,1559959584123.7312,8,56884071,52,2329670524,696
133,133,562078,1199,46000.0,0.0,0.0,0.0,0,cn,104,6.0,android,9,18,1787982,1559608252556.9917,8,2851795770,57,2329670524,772
134,134,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1955382,1559543186720.33,0,3621924720,80,2644467751,411
135,135,341166,1106,46000.0,720.0,0.0,1560.0,1,Zh-CN,329,2.0,Android,8.1.0,66,1642081,1559749350992.2568,0,18333697,23,582377511,297
136,136,0,761,46000.0,1776.0,0.0,1080.0,0,,54,2.0,android,6.0.1,9,1823170,1559647060037.9597,0,3023759988,6,719102900,411
137,137,561158,917,46000.0,2201.0,0.0,1080.0,1,zh-CN,14,6.0,Android,9.0.0,2,1786667,1559618834468.6418,3,3266472159,81,2728353831,620
138,138,325339,1076,46003.0,2340.0,0.0,1080.0,0,zh-CN,64,2.0,android,8.1.0,0,1451664,1559832135379.1929,5,2551511397,82,4130235439,1019
139,139,1850,1199,46000.0,0.0,0.0,0.0,0,cn,104,2.0,android,7.0.0,18,1002440,1560051180534.1147,8,763400053,6,2329670524,1000
140,140,71461,1076,46000.0,1496.0,0.0,720.0,1,zh-CN,64,2.0,android,9,0,1096774,1560016493743.5137,5,272288889,83,3868593770,715
141,141,267158,761,46000.0,1920.0,0.0,1080.0,0,,54,6.0,android,7.0,9,1369255,1559893009380.6592,0,839280863,71,2030758954,1038
142,142,463994,719,46000.0,2280.0,480.0,1080.0,0,zh-CN,44,3.0,android,8.1.0,7,1647593,1559736940034.6064,8,1361340639,84,2812373807,1000
143,143,451195,1028,46000.0,2196.0,3.0,1080.0,0,zh-CN,144,2.0,Android,8.1.0,25,1629432,1559722902658.2986,7,1232503335,65,2210019192,1285
144,144,407769,917,46000.0,1920.0,0.0,1080.0,0,zh-CN,14,6.0,Android,7.1.2,2,1567805,1559758362257.231,3,2645718495,85,2711576615,962
145,145,666215,917,46000.0,1280.0,2.0,720.0,0,zh-CN,409,2.0,Android,5.1.1,81,1938113,1559513739451.946,1,4173511797,86,1227317039,1285
146,146,199186,893,-1.0,0.0,0.0,0.0,1,,89,2.0,android,7.1.2,17,1274276,1559971565864.4895,0,3865132983,36,1870858394,392
147,147,612888,1055,46000.0,1080.0,0.0,2190.0,1,,9,2.0,android,Android_9,0,1861563,1559612046292.3247,0,4075454503,87,2322554671,829
148,148,624550,1076,46001.0,2340.0,0.0,1080.0,1,zh-CN,64,2.0,android,9,0,1878473,1559649622270.0996,5,4149638059,88,3868593770,924
149,149,239173,1199,46000.0,0.0,0.0,0.0,1,tw,104,2.0,android,5.1.1,18,1330286,1559897518639.9644,8,1326269479,67,2329670524,1209
150,150,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.0.0,4,1330390,1559864499078.285,0,4208174909,41,2745131047,411
151,151,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1541376,1559780409444.5137,0,3497183601,89,2694799399,411
152,152,0,1001,46000.0,640.0,0.0,360.0,0,zh-CN,29,2.0,Android,7.1.2,4,1363295,1559887560474.6318,0,1977127279,90,2694799399,411
153,153,87429,719,46000.0,2248.0,440.0,1080.0,1,zh-CN,44,3.0,android,9,7,1118735,1560060377141.5117,8,1095522158,71,2812373807,810
154,154,431507,806,46000.0,600.0,0.0,1024.0,0,,949,3.0,android,6.0_23,0,1601770,1559695928844.4873,2,1720889763,36,1429224315,639
155,155,0,1106,46000.0,0.0,0.0,0.0,0,,39,2.0,android,4.2.2,497,1507404,1559827843096.9138,0,3118644341,91,4190764663,411
156,156,49774,1007,46000.0,1920.0,3.0,1080.0,0,zh-CN,264,2.0,Android,4.4.4,50,1067099,1560076762603.0315,2,2507231793,40,3878055471,658
157,157,197817,1199,46000.0,0.0,0.0,0.0,0,,104,2.0,android,8.0.0,18,1272322,1560002846444.4485,8,3851550864,92,2329670524,430
158,158,655889,893,0.0,0.0,0.0,0.0,0,,19,6.0,android,8.1,0,1923525,1559561605517.4126,4,3932606347,0,695362607,867
159,159,90222,1055,46000.0,1809.0,0.0,1080.0,1,,9,5.0,android,Android_9,0,1122571,1560083561616.5264,0,2257873119,93,2322554671,487
160,160,577677,1055,0.0,1920.0,0.0,1080.0,1,,814,2.0,android,8.1.0,0,1810427,1559621192988.6108,0,498631607,26,2269662058,886
161,161,683458,869,46000.0,2280.0,3.0,1080.0,1,zh-CN,669,6.0,Android,8.1.0,201,1962387,1559541356032.4304,9,3223881845,13,1369006127,1152
162,162,91057,1106,46000.0,1520.0,0.0,720.0,1,Zh-CN,349,6.0,Android,8.1.0,70,1123723,1560063471030.4788,0,1701406943,23,2259249447,1247
163,163,538540,1052,46001.0,2159.0,326.0,1080.0,1,zh-CN,159,2.0,Android,9.0,27,1754483,1559660728294.6323,8,3439786096,94,2191936692,658
164,164,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1872121,1559627756853.7708,0,4230632926,95,2711576615,411
165,165,653074,908,46000.0,2244.0,480.0,1080.0,1,zh-CN,134,6.0,Android,9,23,1919528,1559558347624.7998,6,4050552949,96,1429224315,620
166,166,0,1001,46000.0,694.0,0.0,320.0,1,zh-CN,29,5.0,Android,9.0.0,4,1074553,1560088532903.0854,0,23758965,96,2661244967,411
167,167,134835,1004,46000.0,2248.0,480.0,1080.0,1,zh,139,2.0,android,8.1,24,1184081,1559997746408.8132,7,3217492592,1,876774520,582
168,168,119981,938,46000.0,2280.0,3.0,1080.0,1,zh-CN,4,2.0,Android,8.1.0,1,1163491,1559967249181.0222,11,3281463663,97,129322164,1171
169,169,429304,764,46000.0,1280.0,0.0,720.0,1,zh,339,0.0,android,6.0,68,1598654,1559802404619.4368,0,1049913567,93,428765377,468
170,170,351787,1004,46003.0,2160.0,480.0,1080.0,1,zh,139,6.0,android,9,24,1488497,1559810258872.2478,7,2408602161,12,876774520,1019
171,171,549083,893,0.0,720.0,0.0,1520.0,1,,899,6.0,android,8.1.0,0,1769471,1559658286643.4282,0,2086693087,16,606993276,525
172,172,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1758514,1559627748233.2737,0,2885312439,59,2661244967,411
173,173,0,1106,46000.0,0.0,0.0,0.0,0,,39,2.0,android,4.4.4,88,1202957,1559969650705.6082,0,500572272,98,4190764663,411
174,174,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1907289,1559549076539.4675,0,309597029,99,2711576615,411
175,175,0,1001,46000.0,780.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1692685,1559705280469.239,0,2201512159,100,2594136103,411
176,176,0,1001,46000.0,780.0,0.0,360.0,1,zh-CN,29,5.0,Android,8.1.0,4,1536958,1559800250892.9995,0,1811635923,11,2610913319,411
177,177,597334,1001,46000.0,2034.0,2.0,1080.0,1,zh-CN,114,2.0,Android,7.1.1,19,1839012,1559619151899.9912,7,335747108,1,2236244015,1304
178,178,324704,761,46000.0,1208.0,0.0,720.0,0,,54,2.0,android,7.0,9,1459912,1559756123274.3708,0,654238391,21,1795877930,924
